molecule_chembl_id,activity_value_nm,standard_type,canonical_smiles,molecule_pref_name,standard_units,pchembl_value,log_activity,activity_class,activity_category,compound_name
CHEMBL106232,4500.0,IC50,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,,nM,5.35,3.6532125137753435,0,Weakly Active,
CHEMBL107472,7500.0,IC50,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,,nM,5.12,3.8750612633917,0,Weakly Active,
CHEMBL1077068,88300.0,IC50,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)=N1,,nM,4.05,4.945960703577569,0,Inactive,
CHEMBL1077069,79800.0,IC50,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)=N1,,nM,4.1,4.90200289135073,0,Inactive,
CHEMBL1077085,80600.0,IC50,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3cccs3)SC2=S)=N1,,nM,4.09,4.90633504180509,0,Inactive,
CHEMBL1077095,47900.0,IC50,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN)=N1,,nM,4.32,4.680335513414564,0,Inactive,
CHEMBL1077107,99300.0,IC50,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3ccco3)SC2=S)=N1,,nM,4.0,4.9969492484953815,0,Inactive,
CHEMBL1079742,70.0,IC50,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,ERLOTINIB HYDROCHLORIDE,nM,6.38,1.845098040014257,1,Active,ERLOTINIB HYDROCHLORIDE
CHEMBL1080271,77220.0,IC50,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,,nM,4.11,4.8877297972880305,0,Inactive,
CHEMBL1080272,15140.0,IC50,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,,nM,4.82,4.1801258751640535,0,Inactive,
CHEMBL1080506,8825.0,IC50,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,,nM,4.9,3.9457147140598603,0,Weakly Active,
CHEMBL1080812,867.0,IC50,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,,nM,6.06,2.9380190974762104,1,Moderately Active,
CHEMBL1080815,2700.0,IC50,Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1,,nM,5.57,3.4313637641589874,0,Weakly Active,
CHEMBL1080990,1210.0,IC50,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,,nM,5.92,3.0827853703164503,0,Weakly Active,
CHEMBL1081198,50000.0,IC50,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,,nM,4.3,4.698970004336019,0,Inactive,
CHEMBL1081312,260.0,IC50,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,,nM,6.58,2.4149733479708178,1,Moderately Active,
CHEMBL1081849,980.0,IC50,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,,nM,6.01,2.9912260756924947,1,Moderately Active,
CHEMBL1082012,257.0,IC50,Cc1c(C(=O)NCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,,nM,6.59,2.4099331233312946,1,Moderately Active,
CHEMBL1084117,60900.0,IC50,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(Nc2ccc([N+](=O)[O-])cc2Cl)=N1,,nM,4.21,4.784617292632875,0,Inactive,
CHEMBL1087054,93500.0,IC50,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(SCc2ccccc2)=N1,,nM,4.03,4.970811610872518,0,Inactive,
CHEMBL1087055,55600.0,IC50,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(SCc2ccccc2)=N1,,nM,4.25,4.7450747915820575,0,Inactive,
CHEMBL1087368,1220.0,IC50,CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C,,nM,5.94,3.0863598306747484,0,Weakly Active,
CHEMBL1088240,3300.0,IC50,COc1cc(Nc2c(C#N)cnc3cc(/C=C/CCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,,nM,5.48,3.5185139398778875,0,Weakly Active,
CHEMBL1088348,23500.0,IC50,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(O)cc2O)NC(NCc2ccccc2)=N1,,nM,4.63,4.371067862271736,0,Inactive,
CHEMBL1088901,190.0,IC50,CN(C)CCCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,,nM,6.72,2.278753600952829,1,Moderately Active,
CHEMBL1088931,6.2,IC50,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1)c1c(F)cccc1F,,nM,8.21,0.7923916894982539,1,Very Active,
CHEMBL1089203,340.0,IC50,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,,nM,5.82,2.531478917042255,1,Moderately Active,
CHEMBL1089524,1.7,IC50,CN(C)CCCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,,nM,6.89,0.2304489213782739,1,Very Active,
CHEMBL1090350,7.9,IC50,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1ccccc1,,nM,8.1,0.8976270912904415,1,Very Active,
CHEMBL1090351,1.9,IC50,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)c1c(F)cccc1F,,nM,8.72,0.2787536009528289,1,Very Active,
CHEMBL1090352,870.0,IC50,O=C(CC1CCCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,nM,6.06,2.9395192526186187,1,Moderately Active,
CHEMBL1090353,660.0,IC50,O=C(CC1CCCC1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,nM,6.18,2.8195439355418688,1,Moderately Active,
CHEMBL1090354,100.0,IC50,O=C(Nc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,nM,7.0,2.0,1,Active,
CHEMBL1090355,190.0,IC50,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1)Oc1ccccc1,,nM,6.72,2.278753600952829,1,Moderately Active,
CHEMBL1090356,31.62,IC50,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,,nM,7.2,1.4999618655961902,1,Active,
CHEMBL1090357,110.39,IC50,CN(C)CCc1ccc(Nc2nccc(-c3c(-c4cccc(NC(=O)c5c(F)cccc5F)c4)nc4sccn34)n2)cc1,,nM,9.11,2.0429297333431595,1,Moderately Active,
CHEMBL1090358,25.48,IC50,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)c6c(F)cccc6F)c5)nc5sccn45)n3)cc2)CC1,,nM,9.02,1.4061994236633129,1,Active,
CHEMBL1090359,2.3,IC50,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1)c1c(F)cccc1F,,nM,8.64,0.36172783601759284,1,Very Active,
CHEMBL1090360,56.0,IC50,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,,nM,7.25,1.7481880270062005,1,Active,
CHEMBL1090361,57.0,IC50,CN1CCc2cc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)ccc2C1,,nM,7.24,1.7558748556724915,1,Active,
CHEMBL1090362,183.0,IC50,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NC(=O)Cc6ccccc6)c5)nc5sccn45)n3)cc2)CC1,,nM,7.8,2.2624510897304293,1,Moderately Active,
CHEMBL1090363,24.0,IC50,CN(C)CCc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)Cc5ccccc5)c4)nc4sccn34)n2)c1,,nM,7.62,1.380211241711606,1,Active,
CHEMBL1090364,503.2,IC50,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1,,nM,8.19,2.7017406324372124,1,Moderately Active,
CHEMBL1090840,3.2,IC50,C=CC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,,nM,8.49,0.505149978319906,1,Very Active,
CHEMBL1091613,240.0,IC50,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl,,nM,6.62,2.380211241711606,1,Moderately Active,
CHEMBL109212,416.87,IC50,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCC,,nM,6.38,2.620000642300068,1,Moderately Active,
CHEMBL1092250,19.0,IC50,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,,nM,5.82,1.2787536009528289,1,Active,
CHEMBL1092382,16.0,IC50,CCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,,nM,6.28,1.2041199826559248,1,Active,
CHEMBL109259,89125.09,IC50,COc1cc2c(C#N)cnc(Nc3cccc(Cl)c3)c2cc1OC,,nM,4.05,4.949999981417943,0,Inactive,
CHEMBL109296,4500.0,IC50,CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,,nM,5.35,3.6532125137753435,0,Weakly Active,
CHEMBL1093099,15070.0,IC50,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccccc3)c12,,nM,4.82,4.178113252314632,0,Inactive,
CHEMBL1093100,10410.0,IC50,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,,nM,4.98,4.017450729510536,0,Inactive,
CHEMBL1093234,55.0,IC50,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,,nM,7.26,1.7403626894942439,1,Active,
CHEMBL1093235,230.0,IC50,O=[N+]([O-])c1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1,,nM,6.64,2.361727836017593,1,Moderately Active,
CHEMBL109332,3388.44,IC50,COc1cc2ncc(C=O)c(Nc3cccc(Br)c3)c2cc1OC,,nM,5.47,3.5299997998772934,0,Weakly Active,
CHEMBL109355,1479.11,IC50,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Cl)c3)c2cc1OC,,nM,5.83,3.170000473264351,0,Weakly Active,
CHEMBL109372,1030.0,IC50,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,,nM,5.29,3.012837224705172,0,Weakly Active,
CHEMBL1093815,83.0,IC50,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1Cl,,nM,7.08,1.919078092376074,1,Active,
CHEMBL1094194,1920.0,IC50,CSc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl,,nM,5.72,3.2833012287035497,0,Weakly Active,
CHEMBL1094195,1110.0,IC50,Cl.NCCc1cn(Cc2ccc(-c3cccc(C(F)(F)F)c3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,,nM,5.96,3.0453229787866576,0,Weakly Active,
CHEMBL1094196,1250.0,IC50,COc1ccc(-c2ccc(Cn3cc(CCN)c4cc(OCCc5ccc(O)cc5)ccc43)cc2)cc1.Cl,,nM,5.9,3.0969100130080562,0,Weakly Active,
CHEMBL109428,181.97,IC50,COc1cc2ncc(C#N)c(Nc3cccc(Cl)c3)c2cc1OC,,nM,6.74,2.259999795081887,1,Moderately Active,
CHEMBL1094475,55200.0,IC50,C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,,nM,4.26,4.7419390777291985,0,Inactive,
CHEMBL1094492,1370.0,IC50,COc1ccc(CCCCCn2c3c(c4cc(OCCc5ccc(O)cc5)ccc42)CC(N)CC3)cc1.Cl,,nM,5.86,3.1367205671564067,0,Weakly Active,
CHEMBL109476,2754.23,IC50,COc1cc2ncc(C#N)c(Nc3ccc(C)cc3)c2cc1OC,,nM,5.56,3.440000204461215,0,Weakly Active,
CHEMBL1094784,33100.0,IC50,FC(F)(F)c1cccc(Nc2ncnc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,,nM,4.48,4.519827993775719,0,Inactive,
CHEMBL1094808,91700.0,IC50,Nc1nc(Nc2ccc(C(F)(F)F)c(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,,nM,4.04,4.962369335670021,0,Inactive,
CHEMBL1094825,2750.0,IC50,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccc(C(F)(F)F)cc2)C1,,nM,5.56,3.439332693830263,0,Weakly Active,
CHEMBL1094835,2450.0,IC50,COc1ccc(CCOc2ccc3c(c2)c(CCN)cn3CCCCCc2ccc(SC)cc2)cc1.Cl,,nM,5.61,3.3891660843645326,0,Weakly Active,
CHEMBL109503,1445.44,IC50,COc1cc2ncc(C#N)c(Nc3cccc(C(F)(F)F)c3)c2cc1OC,,nM,5.84,3.1600000688813004,0,Weakly Active,
CHEMBL1095130,2500.0,IC50,Nc1nc(Nc2ccc(Cl)cc2F)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,,nM,5.6,3.3979400086720375,0,Weakly Active,
CHEMBL109515,1096.48,IC50,COCCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCCOC,,nM,5.96,3.0400007144733197,0,Weakly Active,
CHEMBL1095154,1300.0,IC50,Cl.NCCc1cn(Cc2ccc(-c3ccccc3)cc2)c2ccc(OCCc3ccc(O)cc3)cc12,,nM,5.89,3.113943352306837,0,Weakly Active,
CHEMBL1095259,44640.0,IC50,N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c(Br)[nH]2)N1,TAUROACIDIN A,nM,4.35,4.649724185929522,0,Inactive,TAUROACIDIN A
CHEMBL1095445,27200.0,IC50,Nc1nc(Nc2cccc(C(F)(F)F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,,nM,4.57,4.434568904034199,0,Inactive,
CHEMBL1095463,45600.0,IC50,CC(C)c1ccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)cc1,,nM,4.34,4.658964842664435,0,Inactive,
CHEMBL1095464,9190.0,IC50,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1,,nM,5.04,3.9633155113861114,0,Weakly Active,
CHEMBL1095465,12610.0,IC50,COc1ccc(OC)c(Cc2cc3c(Nc4cccc(Br)c4)nc(N)nc3[nH]2)c1,,nM,4.9,4.100715086573081,0,Inactive,
CHEMBL109575,4168.69,IC50,COc1cc2ncc(C#N)c(Nc3ccccc3Br)c2cc1OC,,nM,5.38,3.619999600500459,0,Weakly Active,
CHEMBL1095761,215.0,IC50,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,,nM,6.7,2.3324384599156054,1,Moderately Active,
CHEMBL1095776,96400.0,IC50,CC(C)c1ccccc1Nc1nc(N)nc2[nH]c(Cc3ccc(Cl)cc3Cl)cc12,,nM,4.02,4.984077033902831,0,Inactive,
CHEMBL1095957,2070.0,IC50,Cl.NCCc1c[nH]c2ccc(OCCc3ccc(O)cc3)cc12,,nM,5.68,3.315970345456918,0,Weakly Active,
CHEMBL109625,61659.5,IC50,COc1cc2ncc(C#N)c(Nc3cccc(C(C)C)c3)c2cc1OC,,nM,4.21,4.789999998688878,0,Inactive,
CHEMBL109631,190.0,IC50,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)O)c3)nc21,,nM,6.72,2.278753600952829,1,Moderately Active,
CHEMBL1097189,2500.0,IC50,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCc2ccccc2)C1,,nM,5.6,3.3979400086720375,0,Weakly Active,
CHEMBL1097190,15120.0,IC50,Cl.NC1CCc2[nH]c3ccc(OCCc4ccc(O)cc4)cc3c2C1,,nM,4.82,4.179551791165188,0,Inactive,
CHEMBL1097368,56100.0,IC50,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1,,nM,4.25,4.748962861256161,0,Inactive,
CHEMBL1098119,1630.0,IC50,Cl.NCCc1cn(CCCCCc2ccccc2)c2ccc(OCCc3ccc(O)cc3)cc12,,nM,5.79,3.2121876044039577,0,Weakly Active,
CHEMBL1098120,1005.0,IC50,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccccc2)C1,,nM,6.0,3.002166061756508,0,Weakly Active,
CHEMBL1098121,4400.0,IC50,COc1ccc(CCCCCn2cc(CCN)c3cc(OCCc4ccc(O)cc4)ccc32)cc1.Cl,,nM,5.36,3.6434526764861874,0,Weakly Active,
CHEMBL110035,851.14,IC50,COc1cc2ncc(C#N)c(Nc3cccc(N(C)C)c3)c2cc1OC,,nM,6.07,2.9300010010090753,1,Moderately Active,
CHEMBL110036,812.83,IC50,COc1cc2ncc(C#N)c(Nc3cccc(N)c3)c2cc1OC,,nM,6.09,2.909999724213982,1,Moderately Active,
CHEMBL110055,616.6,IC50,COc1cc2ncc(C#N)c(Nc3ccc(Br)c(C)c3)c2cc1OC,,nM,6.21,2.7900035203904894,1,Moderately Active,
CHEMBL110062,6760.83,IC50,N#Cc1cnc2cc3c(cc2c1Nc1cccc(Br)c1)OCO3,,nM,5.17,3.830000015807418,0,Weakly Active,
CHEMBL110065,33113.11,IC50,CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,,nM,4.48,4.519999971824542,0,Inactive,
CHEMBL110577,6309.57,IC50,COc1cc2ncc(C#N)c(Nc3cccc(O)c3)c2cc1OC,,nM,5.2,3.799999762890647,0,Weakly Active,
CHEMBL110945,9120.11,IC50,COc1cc2ncc(C#N)c(Nc3ccc(O)c(Cl)c3)c2cc1OC,,nM,5.04,3.9600000764978143,0,Weakly Active,
CHEMBL111033,14125.38,IC50,COc1cc2ncc(C#N)c(Nc3cccc(C#N)c3)c2cc1OC,,nM,4.85,4.150000140008875,0,Inactive,
CHEMBL111038,140.0,IC50,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,,nM,6.72,2.146128035678238,1,Moderately Active,
CHEMBL111197,30.0,IC50,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,,nM,7.52,1.4771212547196624,1,Active,
CHEMBL111222,6760.83,IC50,COCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCOC,,nM,5.17,3.830000015807418,0,Weakly Active,
CHEMBL111307,1778.28,IC50,COc1cc2ncc(C#N)c(Nc3ccc(C)c(Br)c3)c2cc1OC,,nM,5.75,3.2500001440812936,0,Weakly Active,
CHEMBL111339,480.0,IC50,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,,nM,6.32,2.681241237375587,1,Moderately Active,
CHEMBL111365,1300.0,IC50,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,,nM,5.89,3.113943352306837,0,Weakly Active,
CHEMBL111434,670.0,IC50,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,,nM,6.17,2.8260748027008264,1,Moderately Active,
CHEMBL111443,21379.62,IC50,CCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,,nM,4.67,4.3299999818189825,0,Inactive,
CHEMBL111520,870.96,IC50,COc1cc2ncc(C#N)c(Nc3cccc([N+](=O)[O-])c3)c2cc1OC,,nM,6.06,2.9399982099121624,1,Moderately Active,
CHEMBL111586,346.74,IC50,N#Cc1cnc2cc(O)c(O)cc2c1Nc1cccc(Br)c1,,nM,6.46,2.5400039448500267,1,Moderately Active,
CHEMBL111664,13803.84,IC50,COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3F)c2cc1OC,,nM,4.86,4.139999916751019,0,Inactive,
CHEMBL111688,158.49,IC50,COc1cc2ncc(C#N)c(Nc3ccc(F)c(C(F)(F)F)c3)c2cc1OC,,nM,6.8,2.200001865406602,1,Moderately Active,
CHEMBL112096,363.08,IC50,COc1cc2ncc(C#N)c(Nc3ccccc3C(C)C)c2cc1OC,,nM,6.44,2.560002326773367,1,Moderately Active,
CHEMBL112225,831.76,IC50,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3C)c2cc1OC,,nM,6.08,2.9199980309640186,1,Moderately Active,
CHEMBL112925,8700.0,IC50,Nc1ccc(-c2cc(=O)c3cc(N)ccc3o2)cc1,,nM,5.06,3.9395192526186187,0,Weakly Active,
CHEMBL113023,250.0,IC50,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,,nM,6.6,2.3979400086720375,1,Moderately Active,
CHEMBL113070,80.0,IC50,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CCCC(=O)O)cc3)nc21,,nM,7.1,1.9030899869919435,1,Active,
CHEMBL113185,5100.0,IC50,COc1cc(Nc2nccc(-c3ccc(NCCN)nc3)n2)cc(OC)c1OC,,nM,5.29,3.7075701760979363,0,Weakly Active,
CHEMBL113535,2187.76,IC50,COc1cc2ncc(C#N)c(Nc3cccc(N=[N+]=[N-])c3)c2cc1OC,,nM,5.66,3.339999677628228,0,Weakly Active,
CHEMBL113863,1000.0,IC50,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCCCC(=O)O)nc21,,nM,6.0,3.0,1,Moderately Active,
CHEMBL113900,250.0,IC50,CC(C)N(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)C(C)C,,nM,6.6,2.3979400086720375,1,Moderately Active,
CHEMBL113901,5220.0,IC50,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/C(C)N(C)C,,nM,5.28,3.717670503002262,0,Weakly Active,
CHEMBL113902,7500.0,IC50,C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,,nM,5.12,3.8750612633917,0,Weakly Active,
CHEMBL113985,5390.0,IC50,COc1cc(NC(=O)/C=C/CN2CCOCC2)cc2c(Nc3cccc(Br)c3)c(C#N)cnc12,,nM,5.27,3.7315887651867388,0,Weakly Active,
